id,text
3982760672611680,"【四川广元一艘客轮发生翻沉 船上18人4人已获救】今天14：50分左右，四川广元白龙湖张家湾湖面突发大风，准载40人的“双龙号”侧翻，据了解，出事船上的18人中，16人为乘客，另有2人是船上的工作人员。当地消防仍在全力营救，目前已有4人获救，获救者已送往当地医院救治。@央视新闻  @四川日报"
3982762123284430,"【还有两天了！请收藏这份高考备忘录！】还有两天，2016全国高考就要开始。就在考生们抓紧复习、最后冲刺时，媒体专门为高考学子们制作了一份高考备忘录，包括考试时间、天气情况等等……如果你家里有考生，或者身边有考生，就赶快转给他们吧！http://t.cn/R5qYnPL @央视新闻"
3982765202715016,"#轻松一刻#网友@爱玩的欧尼们 剪辑了基情版《太阳的后裔》，我差点就信了！[泪流满面]这是第二部的剧透吧[阴险]（分享自 @秒拍）http://t.cn/R54xjt9"
3982765705404585,"【男子白天醉驾摩托被查 怪民警“不按常规出牌”】5月31日，四川一辆摇摇晃晃、走走停停的二轮摩托车引起民警警觉。民警随即示意停车检查，发现驾驶员雍某嘴中散发着刺鼻酒味。令人哭笑不得的是，醉酒男子却责备交警白天也查酒驾，不按常理出牌……四川新闻网"
3982765705883442,"【有能力的策划大牛，别忘了周刊君在等你[挤眼]】你需要在策划创意、文案执行、项目推进等事项上能力出众！能根据客户需求撰写出优秀的传播及服务方案，能独立采写财经、人物类稿件。活泼开朗、善于沟通是刚需，因为你需要参与客户沟通，进行项目提案及执行。投递简历↓↓↓详戳待遇丰厚哟！"
3982765810070058,"【正直播！央视记者深入洪水“吞没”的法国小镇】连日暴雨致法国中东部多河流水位猛涨，塞纳河支流卢万河流域17座城市受影响：内穆尔市中心被洪水一分为二，莫雷小镇近半被淹。目前，水位情况如何？人们生活受到哪些影响？央视记者正在莫雷小镇现场直播！点击关注！(央视记者江华) http://t.cn/R5qQXns"
3982767467794365,"猴年马月就要来了，你的当初梦想快要实现了吗？“如果你有梦想的话，就要去捍卫它”[心]晚安~"
3982768222299077,"【#最养生的走路法#：竟有意想不到的效果！】走路是世界最佳运动之一，简单易行，效果又好。如果单纯的走路让你感到枯燥，不妨变着花样走，会有不错的养生效果：①快走防很多病。②倒着走治腰疼。③一字步缓便秘。④走走跑跑燃脂肪…走前记得做好准备：正确穿着、热身充分、带瓶水！mark下来，走走看~@人民网"
3982770327468562,"#热点#【柯洁年内将战“阿尔法狗” 你看好谁赢？】国家体育总局棋牌中心党委书记杨俊安今天透露，如果不出意外，柯洁九段将在年内与“阿尔法狗”进行围棋“终极人机大战”，但是具体时间和地点待定。今年3月，在与李世石的5局围棋人机大战中，“阿尔法狗”以4：1获胜。http://t.cn/R5q8rUC"
3982771523437877,"【今早好多人定闹钟准备抢TA！还有人通宵排队19个小时！结果......】从昨天（3日）开始到今晨，在上海，有一群人冒着雨，在上海影院门口等待着什么。原来，第19届上海国际电影节于今天上午8时正式开票。在网络上，另一群人也是早早定好8：00分的闹钟，打算通过淘票票APP来订票。http://t.cn/R5qmLUH"
